player,team,position,age,club,appearances,starts,minutes,goals,assists,take_ons,def_line_breaks,attacking_movement,pressing,output_rating,generation_rating,overall_rating
LEE Kangin,Korea Republic,MF,25,PSG,3,3,270,0,1,15,12,44,77,20.0,55.0,38.0
Luis DIAZ,Colombia,FW,29,Bayern Munich,5,5,480,1,1,20,14,176,92,23.0,51.0,37.0
Viktor GYOKERES,Sweden,FW,28,Arsenal,4,4,360,1,2,4,8,94,71,41.0,34.0,37.0
Kai HAVERTZ,Germany,FW,27,Arsenal,4,4,355,3,0,8,2,140,85,42.0,32.0,37.0
Keito NAKAMURA,Japan,MF,25,Reims,4,4,310,1,1,10,10,59,69,32.0,43.0,37.0
Ibrahim MAZA,Algeria,MF,20,Leverkusen,4,4,352,0,0,26,13,130,139,4.0,69.0,36.0
Felix NMECHA,Germany,MF,25,Dortmund,4,4,272,1,1,14,4,55,53,34.0,37.0,36.0
NOOR ALRAWABDEH,Jordan,MF,29,,3,3,270,0,1,8,10,20,160,20.0,52.0,36.0
Weston McKENNIE,USA,MF,27,Juventus,5,5,446,0,0,12,27,161,81,2.0,67.0,35.0
NUNO MENDES,Portugal,DF,23,PSG,5,5,398,1,0,26,17,52,62,15.0,56.0,35.0
Noni MADUEKE,England,FW,24,Arsenal,5,4,288,0,0,22,14,87,64,5.0,65.0,35.0
Alex FREEMAN,USA,DF,21,Villarreal,5,4,373,1,1,25,9,12,44,28.0,39.0,34.0
EMAM ASHOUR,Egypt,MF,28,,5,5,366,2,0,18,7,77,60,28.0,39.0,34.0
Gonzalo PLATA,Ecuador,FW,25,Flamengo,4,4,360,1,0,23,8,85,124,16.0,51.0,34.0
Marcel SABITZER,Austria,MF,32,Dortmund,4,4,360,1,0,6,16,60,127,16.0,51.0,34.0
PEDRO NETO,Portugal,FW,26,Chelsea,5,5,352,0,1,20,11,91,78,16.0,52.0,34.0
Leroy SANE,Germany,MF,30,Galatasaray,4,4,328,1,0,24,9,65,69,17.0,51.0,34.0
Fabian RUIZ,Spain,MF,30,PSG,8,4,321,1,0,8,12,130,72,18.0,51.0,34.0
Sergino DEST,USA,DF,25,PSV,5,4,299,0,0,20,14,82,88,5.0,64.0,34.0
Nathaniel BROWN,Germany,DF,22,Frankfurt,3,3,283,1,1,7,6,78,43,34.0,35.0,34.0
ALI OLWAN,Jordan,FW,26,,3,3,270,1,0,16,4,42,147,20.0,48.0,34.0
Martin BATURINA,Croatia,MF,23,Como,4,4,324,1,0,16,8,72,111,17.0,48.0,33.0
Achraf HAKIMI,Morocco,DF,27,PSG,6,6,570,1,2,34,7,110,63,30.0,35.0,32.0
Denzel DUMFRIES,Netherlands,DF,30,Inter,4,4,390,0,2,7,13,42,66,27.0,37.0,32.0
Franck KESSIE,Côte d'Ivoire,MF,29,Al-Ahli,4,4,347,1,0,5,13,66,122,17.0,47.0,32.0
OMAR MARMOUSH,Egypt,FW,27,Manchester City,5,3,326,0,0,18,12,118,98,4.0,60.0,32.0
Fabian RIEDER,Switzerland,MF,24,Augsburg,5,3,303,0,0,8,10,114,180,5.0,59.0,32.0
Enzo FERNANDEZ,Argentina,MF,25,Chelsea,7,7,663,2,0,16,21,127,176,18.0,45.0,31.0
PEDRI,Spain,MF,23,Barcelona,8,5,500,0,0,20,16,151,219,2.0,60.0,31.0
Ivan PERISIC,Croatia,FW,37,PSV,4,4,360,1,1,5,9,69,75,29.0,34.0,31.0
Daichi KAMADA,Japan,MF,29,Crystal Palace,4,4,331,2,0,3,6,77,94,30.0,33.0,31.0
Connor METCALFE,Australia,MF,26,St Pauli,4,3,315,1,0,3,7,75,169,18.0,43.0,31.0
Rayan AIT-NOURI,Algeria,DF,25,Manchester City,4,3,284,0,0,34,7,49,45,5.0,56.0,31.0
Bilal EL KHANNOUSS,Morocco,MF,22,Stuttgart,6,6,466,0,0,18,23,65,108,2.0,57.0,30.0
CRISTIANO RONALDO,Portugal,FW,41,Al-Nassr,5,5,441,3,0,2,4,150,66,36.0,24.0,30.0
Nicolas RASKIN,Belgium,MF,25,Rangers,6,3,340,0,2,3,8,36,77,30.0,30.0,30.0
